날짜,누적확진자,일별확진자
20200310,7513,242.0
20200311,7755,114.0
20200312,7869,110.0
20200313,7979,107.0
20200314,8086,76.0
20200315,8162,74.0
20200316,8236,84.0
20200317,8320,93.0
20200318,8413,152.0
20200319,8565,87.0
20200320,8652,147.0
20200321,8799,98.0
20200322,8897,64.0
20200323,8961,76.0
20200324,9037,100.0
20200325,9137,104.0
20200326,9241,91.0
20200327,9332,146.0
20200328,9478,105.0
20200329,9583,78.0
20200330,9661,125.0
20200331,9786,101.0
20200401,9887,89.0
20200402,9976,86.0
20200403,10062,94.0
20200404,10156,81.0
20200405,10237,47.0
20200406,10284,47.0
20200407,10331,53.0
20200408,10384,39.0
20200409,10423,27.0
20200410,10450,30.0
20200411,10480,32.0
20200412,10512,25.0
20200413,10537,27.0
20200414,10564,27.0
20200415,10591,22.0
20200416,10613,22.0
20200417,10635,18.0
20200418,10653,8.0
20200419,10661,13.0
20200420,10674,9.0
20200421,10683,11.0
20200422,10694,8.0
20200423,10702,6.0
20200424,10708,10.0
20200425,10718,10.0
20200426,10728,10.0
20200427,10738,14.0
20200428,10752,9.0
20200429,10761,4.0
20200430,10765,9.0
20200501,10774,6.0
20200502,10780,13.0
20200503,10793,8.0
20200504,10801,3.0
20200505,10804,2.0
20200506,10806,4.0
20200507,10810,12.0
20200508,10822,18.0
20200509,10840,34.0
20200510,10874,35.0
20200511,10909,27.0
20200512,10936,26.0
20200513,10962,29.0
20200514,10991,27.0
20200515,11018,19.0
20200516,11037,13.0
20200517,11050,15.0
20200518,11065,13.0
20200519,11078,32.0
20200520,11110,12.0
20200521,11122,20.0
20200522,11142,23.0
20200523,11165,25.0
20200524,11190,16.0
20200525,11206,19.0
20200526,11225,40.0
20200527,11265,79.0
20200528,11344,58.0
20200529,11402,39.0
20200530,11441,27.0
20200531,11468,35.0
20200601,11503,38.0
20200602,11541,49.0
20200603,11590,39.0
20200604,11629,39.0
20200605,11668,51.0
20200606,11719,57.0
20200607,11776,38.0
20200608,11814,38.0
20200609,11852,50.0
20200610,11902,45.0
20200611,11947,56.0
20200612,12003,48.0
20200613,12051,34.0
20200614,12085,36.0
20200615,12121,34.0
20200616,12155,43.0
20200617,12198,59.0
20200618,12257,49.0
20200619,12306,67.0
20200620,12373,48.0
20200621,12421,17.0
20200622,12438,46.0
20200623,12484,51.0
20200624,12535,28.0
20200625,12563,39.0
20200626,12602,51.0
20200627,12653,62.0
20200628,12715,42.0
20200629,12757,43.0
20200630,12800,50.0
20200701,12850,54.0
20200702,12904,63.0
20200703,12967,63.0
20200704,13030,61.0
20200705,13091,46.0
20200706,13137,44.0
20200707,13181,63.0
20200708,13244,49.0
20200709,13293,45.0
20200710,13338,35.0
20200711,13373,44.0
20200712,13417,62.0
20200713,13479,33.0
20200714,13512,39.0
20200715,13551,61.0
20200716,13612,60.0
20200717,13672,39.0
20200718,13711,34.0
20200719,13745,26.0
20200720,13771,45.0
20200721,13816,63.0
20200722,13879,59.0
20200723,13938,41.0
20200724,13979,113.0
20200725,14092,58.0
20200726,14150,25.0
20200727,14175,28.0
20200728,14203,48.0
20200729,14251,18.0
20200730,14269,36.0
20200731,14305,31.0
20200801,14336,30.0
20200802,14366,23.0
20200803,14389,34.0
20200804,14423,33.0
20200805,14456,43.0
20200806,14499,20.0
20200807,14519,43.0
20200808,14562,36.0
20200809,14598,28.0
20200810,14626,34.0
20200811,14660,54.0
20200812,14714,56.0
20200813,14770,103.0
20200814,14873,166.0
20200815,15039,279.0
20200816,15318,197.0
20200817,15515,246.0
20200818,15761,297.0
20200819,16058,288.0
20200820,16346,324.0
20200821,16670,332.0
20200822,17002,397.0
20200823,17399,266.0
20200824,17665,280.0
20200825,17945,320.0
20200826,18265,441.0
20200827,18706,371.0
20200828,19077,323.0
20200829,19400,299.0
20200830,19699,248.0
20200831,19947,235.0
20200901,20182,267.0
20200902,20449,195.0
20200903,20644,198.0
20200904,20842,168.0
20200905,21010,167.0
20200906,21177,119.0
20200907,21296,136.0
20200908,21432,156.0
20200909,21588,155.0
20200910,21743,176.0
20200911,21919,136.0
20200912,22055,121.0
20200913,22176,109.0
20200914,22285,106.0
20200915,22391,113.0
20200916,22504,153.0
20200917,22657,126.0
20200918,22783,110.0
20200919,22893,82.0
20200920,22975,70.0
20200921,23045,61.0
20200922,23106,110.0
20200923,23216,125.0
20200924,23341,114.0
20200925,23455,61.0
20200926,23516,95.0
20200927,23611,50.0
20200928,23661,38.0
20200929,23699,113.0
20200930,23812,77.0
20201001,23889,63.0
20201002,23952,75.0
