Date,Total Cases,Released Cases,Deaths
20200310,7513,247,54
20200311,7755,288,60
20200312,7869,333,66
20200313,7979,510,67
20200314,8086,714,72
20200315,8162,834,75
20200316,8236,1137,75
20200317,8320,1401,81
20200318,8413,1540,84
20200319,8565,1947,91
20200320,8652,2233,94
20200321,8799,2612,102
20200322,8897,2909,104
20200323,8961,3166,111
20200324,9037,3507,120
20200325,9137,3730,126
20200326,9241,4144,131
20200327,9332,4528,139
20200328,9478,4811,144
20200329,9583,5033,152
20200330,9661,5228,158
20200331,9786,5408,162
20200401,9887,5567,165
20200402,9976,5828,169
20200403,10062,6021,174
20200404,10156,6325,177
20200405,10237,6463,183
20200406,10284,6598,186
20200407,10331,6694,192
20200408,10384,6776,200
20200409,10423,6973,204
20200410,10450,7117,208
20200411,10480,7243,211
20200412,10512,7368,214
20200413,10537,7447,217
20200414,10564,7534,222
20200415,10591,7616,225
20200416,10613,7757,229
20200417,10635,7829,230
20200418,10653,7937,232
20200419,10661,8042,234
20200420,10674,8114,236
20200421,10683,8213,237
20200422,10694,8277,238
20200423,10702,8411,240
20200424,10708,8501,240
20200425,10718,8635,240
20200426,10728,8717,242
20200427,10738,8764,243
20200428,10752,8854,244
20200429,10761,8922,246
20200430,10765,9059,247
20200501,10774,9072,248
20200502,10780,9123,250
20200503,10793,9183,250
20200504,10801,9217,252
20200505,10804,9283,254
20200506,10806,9333,255
20200507,10810,9419,256
20200508,10822,9484,256
20200509,10840,9568,256
20200510,10874,9610,256
20200511,10909,9632,256
20200512,10936,9670,258
20200513,10962,9695,259
20200514,10991,9762,260
20200515,11018,9821,260
20200516,11037,9851,262
20200517,11050,9888,262
20200518,11065,9904,263
20200519,11078,9938,263
20200520,11110,10066,263
20200521,11122,10135,264
20200522,11142,10162,264
20200523,11165,10194,266
20200524,11190,10213,266
20200525,11206,10226,267
20200526,11225,10275,269
20200527,11265,10295,269
20200528,11344,10340,269
20200529,11402,10363,269
20200530,11441,10398,269
20200531,11468,10405,270
20200601,11503,10422,271
20200602,11541,10446,272
20200603,11590,10467,273
20200604,11629,10499,273
20200605,11668,10506,273
20200606,11719,10531,273
20200607,11776,10552,273
20200608,11814,10563,273
20200609,11852,10589,274
20200610,11902,10611,276
20200611,11947,10654,276
20200612,12003,10669,277
20200613,12051,10691,277
20200614,12085,10718,277
20200615,12121,10730,277
20200616,12155,10760,278
20200617,12198,10774,279
20200618,12257,10800,280
20200619,12306,10835,280
20200620,12373,10856,280
20200621,12421,10868,280
20200622,12438,10881,280
20200623,12484,10908,281
20200624,12535,10930,281
20200625,12563,10974,282
20200626,12602,11172,282
20200627,12653,11317,282
20200628,12715,11364,282
20200629,12757,11429,282
20200630,12800,11537,282
20200701,12850,11613,282
20200702,12904,11684,282
20200703,12967,11759,282
20200704,13030,11811,283
20200705,13091,11832,283
20200706,13137,11848,284
20200707,13181,11914,285
20200708,13244,11970,285
20200709,13293,12019,287
20200710,13338,12065,288
20200711,13373,12144,288
20200712,13417,12178,289
20200713,13479,12204,289
20200714,13512,12282,289
20200715,13551,12348,289
20200716,13612,12396,291
20200717,13672,12460,293
20200718,13711,12519,294
20200719,13745,12556,295
20200720,13771,12572,296
20200721,13816,12643,296
20200722,13879,12698,297
20200723,13938,12758,297
20200724,13979,12817,298
20200725,14092,12866,298
20200726,14150,12890,298
20200727,14175,12905,299
20200728,14203,13007,300
